tripduration,starttime,stoptime,start.station.latitude,start.station.longitude,end.station.latitude,end.station.longitude,bikeid,usertype,birth.year,gender,start.date
2146,21:13.2,56:59.9,40.7112423,-74.0557013,40.7112423,-74.0557013,42356,Customer,1982,1,5/17/20
164,03:14.6,05:58.8,40.72163014,-74.04996783,40.72152515,-74.04630454,26302,Subscriber,1988,2,7/1/19
377,40:19.7,46:37.2,40.7236589,-74.0641943,40.71942,-74.05099,44414,Subscriber,1977,1,8/15/20
497,09:20.2,17:37.5,40.71958612,-74.04311746,40.7112423,-74.0557013,44966,Subscriber,1985,1,7/24/20
177,29:43.1,32:40.4,40.72533993,-74.06762213,40.72210379,-74.071455,42251,Subscriber,1992,1,9/5/20
266,24:00.6,28:27.2,40.71958612,-74.04311746,40.71942,-74.05099,29576,Subscriber,1969,1,12/14/19
702,16:15.9,27:58.6,40.71653978,-74.04963791,40.7241765,-74.0506564,42341,Customer,1993,2,5/25/20
460,34:44.5,42:24.5,40.7272235,-74.0337589,40.7162469,-74.0334588,26276,Subscriber,1975,1,4/27/19
333,26:31.0,32:04.4,40.7308971,-74.06391263,40.72210379,-74.071455,26159,Subscriber,1982,1,12/19/19
280,36:30.5,41:10.7,40.71958612,-74.04311746,40.7211236,-74.03805095,29676,Subscriber,1996,1,1/12/20
265,44:55.4,49:21.3,40.7183552,-74.03891444,40.7242941,-74.0354826,20211,Subscriber,1969,0,8/2/19
313,09:13.2,14:26.7,40.72165072,-74.04288411,40.71848892,-74.04772663,48910,Subscriber,1986,1,12/24/20
228,28:26.0,32:14.9,40.72568548,-74.04879034,40.71958612,-74.04311746,29235,Subscriber,1987,0,5/21/19
218,19:37.5,23:16.1,40.72533993,-74.06762213,40.7308971,-74.06391263,42271,Subscriber,1995,1,2/20/20
3143,33:50.8,26:14.3,40.7287448,-74.0321082,40.7287448,-74.0321082,44418,Customer,1969,0,6/28/20
4497,53:38.9,08:36.4,40.7236589,-74.0641943,40.71958612,-74.04311746,45225,Customer,1969,0,8/12/20
