season,season_episode,episode_rating
1,1,9.2
1,2,8.8
1,3,8.9
1,4,8.5
1,5,8.8
1,6,8.5
1,7,8.8
1,8,9
1,9,8.9
1,10,8.8
1,11,8.8
1,12,9.1
1,13,9.2
2,1,8.7
2,2,8.8
2,3,8.6
2,4,8.7
2,5,8.8
2,6,8.6
2,7,8.7
2,8,8.6
2,9,8.7
2,10,9
2,11,8.9
2,12,9
2,13,9.1
3,1,8.2
3,2,8.6
3,3,8.4
3,4,8.6
3,5,8.6
3,6,8.6
3,7,8.9
3,8,9
3,9,8.6
3,10,8.6
3,11,8.5
3,12,8.5
3,13,8.5
4,1,8
4,2,8.3
4,3,8.6
4,4,8.3
4,5,8.5
4,6,8.3
4,7,8.5
4,8,8.5
4,9,8.6
4,10,8.5
4,11,8.5
4,12,9.2
4,13,8.2
5,1,8.6
5,2,8.4
5,3,8.6
5,4,8.9
5,5,8.7
5,6,8.7
5,7,8.6
5,8,9
5,9,8.5
5,10,8.6
5,11,8.5
5,12,8.6
5,13,8.8
6,1,8.6
6,2,8.2
6,3,8.4
6,4,7.6
6,5,8.5
6,6,8.5
6,7,8.6
6,8,8.8
6,9,8.5
6,10,9.1
6,11,8.9
6,12,8
7,1,8.4
7,2,8.5
7,3,8.1
7,4,8.2
7,5,8.6
7,6,8.5
7,7,8.4
7,8,8.5
7,9,8.8
7,10,8.2
8,1,8.8
8,2,8.6
8,3,9
8,4,8.5
8,5,8.5
8,6,8.4
8,7,NA
8,8,NA
8,9,NA
9,1,8.8
9,2,8.7
9,3,8.8
9,4,8.7
9,5,8.9
9,6,8.2
9,7,8.4
9,8,8.7
9,9,8.8
9,10,8.5
9,11,8.1
9,12,8.9
9,13,8.1
10,1,8.7
10,2,8.6
10,3,8.3
10,4,8.8
10,5,8.5
10,6,8.6
10,7,NA
10,8,NA
10,9,NA
10,10,NA
10,11,NA
10,12,NA
10,13,NA
11,1,8.6
11,2,8.4
11,3,8.4
11,4,8.7
11,5,8.7
11,6,8.7
11,7,8.2
11,8,9.1
11,9,8.5
11,10,8.7
11,11,8.5
11,12,8.4
11,13,8.9
12,1,8.4
12,2,8.3
12,3,8.6
12,4,8.6
12,5,8
12,6,8.2
12,7,8.3
12,8,8.2
12,9,8.8
12,10,8.8
12,11,8.1
12,12,8.5
12,13,8.1
13,1,7.7
13,2,8.7
13,3,8.2
13,4,8.4
13,5,8.5
13,6,7.9
13,7,8.7
13,8,8.1
13,9,8.8
13,10,8.6
13,11,7.5
13,12,8.4
14,1,8.2
14,2,8.8
14,3,8.7
14,4,8.5
14,5,8.4
14,6,8.9
14,7,9
14,8,8.2
14,9,8.4
14,10,8.6
14,11,8.7
14,12,NA
14,13,NA
15,1,8.5
15,2,9.1
15,3,7.9
