co2_val,obs_i,obs_date
315.42,1,1959-01-01
316.31,2,1959-02-01
316.5,3,1959-03-01
317.56,4,1959-04-01
318.13,5,1959-05-01
318,6,1959-06-01
316.39,7,1959-07-01
314.65,8,1959-08-01
313.68,9,1959-09-01
313.18,10,1959-10-01
314.66,11,1959-11-01
315.43,12,1959-12-01
316.27,13,1960-01-01
316.81,14,1960-02-01
317.42,15,1960-03-01
318.87,16,1960-04-01
319.87,17,1960-05-01
319.43,18,1960-06-01
318.01,19,1960-07-01
315.74,20,1960-08-01
314,21,1960-09-01
313.68,22,1960-10-01
314.84,23,1960-11-01
316.03,24,1960-12-01
316.73,25,1961-01-01
317.54,26,1961-02-01
318.38,27,1961-03-01
319.31,28,1961-04-01
320.42,29,1961-05-01
319.61,30,1961-06-01
318.42,31,1961-07-01
316.63,32,1961-08-01
314.83,33,1961-09-01
315.16,34,1961-10-01
315.94,35,1961-11-01
316.85,36,1961-12-01
317.78,37,1962-01-01
318.4,38,1962-02-01
319.53,39,1962-03-01
320.42,40,1962-04-01
320.85,41,1962-05-01
320.45,42,1962-06-01
319.45,43,1962-07-01
317.25,44,1962-08-01
316.11,45,1962-09-01
315.27,46,1962-10-01
316.53,47,1962-11-01
317.53,48,1962-12-01
318.58,49,1963-01-01
318.92,50,1963-02-01
319.7,51,1963-03-01
321.22,52,1963-04-01
322.08,53,1963-05-01
321.31,54,1963-06-01
319.58,55,1963-07-01
317.61,56,1963-08-01
316.05,57,1963-09-01
315.83,58,1963-10-01
316.91,59,1963-11-01
318.2,60,1963-12-01
319.41,61,1964-01-01
320.07,62,1964-02-01
320.74,63,1964-03-01
321.4,64,1964-04-01
322.06,65,1964-05-01
321.73,66,1964-06-01
320.27,67,1964-07-01
318.54,68,1964-08-01
316.54,69,1964-09-01
316.71,70,1964-10-01
317.53,71,1964-11-01
318.55,72,1964-12-01
319.27,73,1965-01-01
320.28,74,1965-02-01
320.73,75,1965-03-01
321.97,76,1965-04-01
322,77,1965-05-01
321.71,78,1965-06-01
321.05,79,1965-07-01
318.71,80,1965-08-01
317.66,81,1965-09-01
317.14,82,1965-10-01
318.7,83,1965-11-01
319.25,84,1965-12-01
320.46,85,1966-01-01
321.43,86,1966-02-01
322.23,87,1966-03-01
323.54,88,1966-04-01
323.91,89,1966-05-01
323.59,90,1966-06-01
322.24,91,1966-07-01
320.2,92,1966-08-01
318.48,93,1966-09-01
317.94,94,1966-10-01
319.63,95,1966-11-01
320.87,96,1966-12-01
322.17,97,1967-01-01
322.34,98,1967-02-01
322.88,99,1967-03-01
324.25,100,1967-04-01
324.83,101,1967-05-01
323.93,102,1967-06-01
322.38,103,1967-07-01
320.76,104,1967-08-01
319.1,105,1967-09-01
319.24,106,1967-10-01
