test_type,sample_size,power
Bartlett's test,10,0.07899999999999989
Bartlett's test,20,0.1179999999999999
Bartlett's test,30,0.20499999999999993
Bartlett's test,40,0.241
Bartlett's test,50,0.2719999999999999
Bartlett's test,60,0.34700000000000014
Bartlett's test,70,0.3630000000000003
Bartlett's test,80,0.42299999999999993
Bartlett's test,90,0.4729999999999998
Bartlett's test,100,0.5029999999999999
Bartlett's test,110,0.5279999999999999
Bartlett's test,120,0.6019999999999998
Bartlett's test,130,0.6499999999999999
Bartlett's test,140,0.6700000000000002
Bartlett's test,150,0.6789999999999998
Bartlett's test,160,0.729
Bartlett's test,170,0.7360000000000001
Bartlett's test,180,0.811
Bartlett's test,190,0.7909999999999999
Bartlett's test,200,0.8199999999999998
Bartlett's test,210,0.825
Bartlett's test,220,0.859
Bartlett's test,230,0.8610000000000001
Bartlett's test,240,0.8779999999999999
Bartlett's test,250,0.8939999999999999
Bartlett's test,260,0.8950000000000001
Bartlett's test,270,0.904
Bartlett's test,280,0.918
Bartlett's test,290,0.9339999999999999
Bartlett's test,300,0.936
Bartlett's test,310,0.945
Bartlett's test,320,0.9570000000000001
Bartlett's test,330,0.9610000000000001
Bartlett's test,340,0.9570000000000001
Bartlett's test,350,0.975
Bartlett's test,360,0.976
Bartlett's test,370,0.9690000000000001
Bartlett's test,380,0.975
Bartlett's test,390,0.9850000000000001
Bartlett's test,400,0.9810000000000001
Bartlett's test,410,0.985
Bartlett's test,420,0.984
Bartlett's test,430,0.987
Bartlett's test,440,0.986
Bartlett's test,450,0.988
Bartlett's test,460,0.991
Bartlett's test,470,0.995
Bartlett's test,480,0.995
Bartlett's test,490,0.992
Bartlett's test,500,0.994
Bartlett's test,510,0.994
Bartlett's test,520,0.994
Bartlett's test,530,0.996
Bartlett's test,540,0.997
Bartlett's test,550,0.998
Bartlett's test,560,0.997
Bartlett's test,570,1
Bartlett's test,580,0.995
Bartlett's test,590,0.998
Bartlett's test,600,0.999
Bartlett's test,610,0.999
Bartlett's test,620,0.999
Bartlett's test,630,0.999
Bartlett's test,640,0.998
Bartlett's test,650,1
Bartlett's test,660,1
Bartlett's test,670,1
Bartlett's test,680,0.999
Bartlett's test,690,1
Bartlett's test,700,1
Bartlett's test,710,1
Bartlett's test,720,1
Bartlett's test,730,1
Bartlett's test,740,1
Bartlett's test,750,1
Bartlett's test,760,1
Bartlett's test,770,1
Bartlett's test,780,1
Bartlett's test,790,1
Bartlett's test,800,1
Bartlett's test,810,1
Bartlett's test,820,1
Bartlett's test,830,1
Bartlett's test,840,1
Bartlett's test,850,1
Bartlett's test,860,1
Bartlett's test,870,0.999
Bartlett's test,880,1
Bartlett's test,890,1
Bartlett's test,900,1
Bartlett's test,910,1
Bartlett's test,920,1
Bartlett's test,930,1
Bartlett's test,940,1
Bartlett's test,950,1
Bartlett's test,960,1
Bartlett's test,970,1
Bartlett's test,980,1
Bartlett's test,990,1
Bartlett's test,1000,1
KS test,10,0.01399999999999999
KS test,20,0.04600000000000001
KS test,30,0.03399999999999999
KS test,40,0.03300000000000003
KS test,50,0.050999999999999934
KS test,60,0.07299999999999979
KS test,70,0.041000000000000036
KS test,80,0.06100000000000004
KS test,90,0.06600000000000007
KS test,100,0.06399999999999995
KS test,110,0.076
KS test,120,0.07400000000000001
KS test,130,0.12099999999999993
KS test,140,0.10800000000000008
KS test,150,0.11299999999999992
KS test,160,0.09999999999999999
KS test,170,0.10100000000000002
KS test,180,0.14300000000000004
KS test,190,0.1229999999999999
KS test,200,0.1350000000000001
KS test,210,0.15500000000000003
KS test,220,0.14899999999999997
KS test,230,0.15199999999999994
KS test,240,0.18899999999999995
KS test,250,0.1450000000000003
KS test,260,0.201
KS test,270,0.2029999999999999
KS test,280,0.19999999999999996
KS test,290,0.20700000000000005
KS test,300,0.21699999999999994
KS test,310,0.2429999999999999
KS test,320,0.23299999999999998
KS test,330,0.2570000000000001
KS test,340,0.2259999999999999
KS test,350,0.28499999999999986
KS test,360,0.25499999999999984
KS test,370,0.31300000000000006
KS test,380,0.2689999999999999
KS test,390,0.31699999999999995
KS test,400,0.31399999999999995
KS test,410,0.303
KS test,420,0.3020000000000001
KS test,430,0.3329999999999999
KS test,440,0.30899999999999994
KS test,450,0.319
KS test,460,0.3419999999999999
KS test,470,0.3510000000000006
KS test,480,0.3250000000000003
KS test,490,0.3889999999999999
KS test,500,0.41599999999999987
KS test,510,0.3989999999999999
KS test,520,0.4140000000000002
KS test,530,0.391
KS test,540,0.40999999999999986
KS test,550,0.39999999999999997
KS test,560,0.43099999999999994
KS test,570,0.45499999999999996
KS test,580,0.4630000000000001
KS test,590,0.49500000000000033
KS test,600,0.437
KS test,610,0.46299999999999997
KS test,620,0.49900000000000005
KS test,630,0.47800000000000015
KS test,640,0.48899999999999993
KS test,650,0.5230000000000001
KS test,660,0.5360000000000001
KS test,670,0.5629999999999997
KS test,680,0.5580000000000002
KS test,690,0.5780000000000002
KS test,700,0.595
KS test,710,0.5529999999999997
KS test,720,0.6019999999999999
KS test,730,0.6069999999999999
KS test,740,0.6179999999999998
KS test,750,0.6130000000000003
KS test,760,0.6309999999999998
KS test,770,0.6210000000000002
KS test,780,0.625
KS test,790,0.6540000000000001
KS test,800,0.657
KS test,810,0.675
KS test,820,0.697
KS test,830,0.6549999999999999
KS test,840,0.6940000000000001
KS test,850,0.7260000000000003
KS test,860,0.7170000000000001
KS test,870,0.705
KS test,880,0.7429999999999999
KS test,890,0.7239999999999999
KS test,900,0.7130000000000001
KS test,910,0.7630000000000001
KS test,920,0.7329999999999998
KS test,930,0.7600000000000001
KS test,940,0.7640000000000001
KS test,950,0.7639999999999999
KS test,960,0.782
KS test,970,0.7779999999999999
KS test,980,0.7280000000000002
KS test,990,0.802
KS test,1000,0.8130000000000001
t-test,10,0.04200000000000005
t-test,20,0.05799999999999999
t-test,30,0.034000000000000107
t-test,40,0.04400000000000002
t-test,50,0.042000000000000016
t-test,60,0.058000000000000024
t-test,70,0.036
t-test,80,0.050000000000000044
t-test,90,0.047999999999999966
t-test,100,0.05000000000000007
t-test,110,0.051999999999999984
t-test,120,0.050999999999999934
t-test,130,0.052000000000000046
t-test,140,0.05099999999999995
t-test,150,0.05199999999999998
t-test,160,0.052000000000000025
t-test,170,0.04899999999999986
t-test,180,0.04799999999999997
t-test,190,0.05199999999999996
t-test,200,0.05599999999999996
t-test,210,0.048999999999999856
t-test,220,0.05099999999999996
t-test,230,0.05099999999999996
t-test,240,0.05499999999999998
t-test,250,0.04200000000000012
t-test,260,0.05200000000000018
t-test,270,0.05499999999999998
t-test,280,0.055
t-test,290,0.052000000000000025
t-test,300,0.05000000000000012
t-test,310,0.03999999999999999
t-test,320,0.0550000000000001
t-test,330,0.05500000000000003
t-test,340,0.04399999999999998
t-test,350,0.04100000000000001
t-test,360,0.04299999999999991
t-test,370,0.05500000000000005
t-test,380,0.050000000000000086
t-test,390,0.04899999999999993
t-test,400,0.05499999999999998
t-test,410,0.04799999999999997
t-test,420,0.04500000000000003
t-test,430,0.044000000000000025
t-test,440,0.035999999999999976
