player,nationality,overall,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning
Alisson,Brazil,90,86,88,85,89,51,91
Ederson,Brazil,88,86,82,93,88,63,86
H. Lloris,France,87,89,82,68,90,63,84
De Gea,Spain,86,88,81,78,89,58,82
B. Leno,Germany,85,85,83,80,86,56,84
K. Schmeichel,Denmark,84,82,77,83,89,54,79
Rui Patrício,Portugal,84,84,80,77,83,55,82
M. Dúbravka,Slovakia,83,79,80,81,86,46,82
A. Areola,France,82,85,79,80,84,55,78
Kepa,Spain,82,81,82,85,82,33,79
N. Pope,England,82,79,81,75,84,48,83
J. Pickford,England,81,81,77,87,85,48,77
L. Fabiański,Poland,81,80,82,70,82,48,81
D. Henderson,England,80,80,80,70,83,49,77
M. Ryan,Australia,80,81,75,82,82,52,78
S. Romero,Argentina,80,78,76,81,83,45,79
Guaita,Spain,80,81,80,77,82,52,78
E. Martínez,Argentina,78,78,80,78,77,58,77
L. Karius,Germany,78,82,72,78,81,54,76
T. Heaton,England,78,78,77,74,79,55,78
P. Gazzaniga,Argentina,77,80,76,84,80,64,77
A. McCarthy,England,77,77,75,64,81,57,75
Z. Steffen,United States,76,77,72,73,83,53,71
F. Forster,England,76,76,72,65,80,31,75
Adrián,Spain,76,79,72,68,80,45,72
A. Ramsdale,England,75,76,73,69,77,49,73
S. Johnstone,England,75,79,74,70,77,41,73
W. Caballero,Argentina,75,74,72,71,74,45,76
J. Hart,England,75,72,75,65,77,58,74
D. Randolph,Republic of Ireland,75,77,72,67,76,43,73
W. Hennessey,Wales,75,76,74,79,71,41,75
L. Kalinić,Croatia,75,78,74,48,76,35,76
M. Rodák,Slovakia,74,76,71,72,75,46,70
A. Gunn,England,74,76,72,70,78,49,72
D. Ward,Wales,74,75,72,66,75,45,73
Kiko Casilla,Spain,74,74,72,72,75,47,72
Fabricio,Spain,74,73,75,71,74,56,71
K. Darlow,England,73,75,70,64,76,55,71
J. Lössl,Denmark,73,73,74,68,75,32,71
C. Walton,England,72,72,72,70,74,35,66
O. Nyland,Norway,72,72,67,77,73,48,73
M. Gillespie,England,71,74,68,66,73,35,72
W. Foderingham,England,71,71,69,68,72,43,70
J. Steer,England,70,68,69,70,71,50,70
L. Grant,England,70,70,70,72,69,41,67
S. Carson,England,70,69,70,69,68,35,71
J. Ruddy,England,70,70,66,72,71,41,70
I. Meslier,France,69,70,67,70,73,28,67
B. Peacock-Farrell,Northern Ireland,69,72,65,72,73,52,64
M. Verrips,Netherlands,69,71,68,71,72,16,65
D. Button,England,68,70,67,65,68,53,65
J. Steele,England,67,68,66,70,67,35,67
S. Moore,England,67,66,68,71,67,49,64
E. Jakupović,Switzerland,66,66,66,64,65,30,66
D. Martin,England,66,66,62,66,65,39,66
M. Macey,England,65,63,65,65,66,39,64
W. Norris,England,65,67,62,60,67,45,63
S. Henderson,Republic of Ireland,65,66,62,70,62,39,64
Robert Sanchez,Spain,64,64,62,64,66,43,63
J. Bond,England,64,65,61,61,64,47,62
João Virgínia,Portugal,63,62,60,63,65,52,59
A. Whiteman,England,63,66,61,59,66,31,62
C. Kelleher,Republic of Ireland,61,62,59,55,64,39,58
N. Trott,England,61,62,60,64,64,36,61
D. Iliev,North Macedonia,61,64,59,58,64,44,60
E. Caprile,Italy,60,63,59,61,63,33,58
