year,month,extent
1979,1,15.41
1979,2,16.18
1979,3,16.34
1979,4,15.45
1979,5,13.86
1979,6,12.53
1979,7,10.31
1979,8,8.04
1979,9,7.05
1979,10,8.75
1979,11,10.94
1979,12,13.34
1980,1,14.86
1980,2,15.96
1980,3,16.04
1980,4,15.43
1980,5,13.79
1980,6,12.2
1980,7,10.1
1980,8,7.98
1980,9,7.67
1980,10,9.18
1980,11,11.38
1980,12,13.59
1981,1,14.91
1981,2,15.6
1981,3,15.63
1981,4,15.01
1981,5,13.8
1981,6,12.43
1981,7,10.27
1981,8,7.84
1981,9,7.14
1981,10,8.86
1981,11,10.93
1981,12,13.34
1982,1,15.18
1982,2,15.97
1982,3,16.04
1982,4,15.47
1982,5,13.97
1982,6,12.48
1982,7,10.37
1982,8,8.14
1982,9,7.3
1982,10,9.42
1982,11,11.63
1982,12,13.64
1983,1,14.94
1983,2,16.01
1983,3,16.09
1983,4,15.17
1983,5,13.49
1983,6,12.3
1983,7,10.57
1983,8,8.19
1983,9,7.39
1983,10,9.33
1983,11,11.46
1983,12,13.3
1984,1,14.47
1984,2,15.3
1984,3,15.58
1984,4,15.01
1984,5,13.58
1984,6,12.15
1984,7,9.98
1984,8,7.77
1984,9,6.81
1984,10,8.56
1984,11,10.84
1984,12,12.99
1985,1,14.72
1985,2,15.47
1985,3,15.89
1985,4,15.36
1985,5,14.07
1985,6,12.22
1985,7,9.74
1985,8,7.4
1985,9,6.7
1985,10,8.55
1985,11,11.02
1985,12,13.05
1986,1,14.89
1986,2,15.78
1986,3,15.91
1986,4,15.06
1986,5,13.38
1986,6,11.98
1986,7,10.15
1986,8,7.98
1986,9,7.41
1986,10,9.48
1986,11,11.45
1986,12,13.22
1987,1,14.97
1987,2,16.05
1987,3,15.82
1987,4,15.21
1987,5,13.74
1987,6,12.49
1987,7,10.33
1987,8,7.63
1987,9,7.28
1987,10,9.05
1987,11,11.22
1987,12,NA
1988,1,NA
1988,2,15.58
1988,3,15.96
1988,4,15.12
1988,5,13.56
1988,6,11.94
1988,7,9.81
1988,8,7.89
1988,9,7.37
1988,10,9.13
1988,11,11.33
1988,12,13.63
1989,1,14.95
1989,2,15.5
1989,3,15.42
1989,4,14.33
1989,5,13.04
1989,6,12.24
1989,7,10.13
1989,8,7.88
1989,9,7.01
1989,10,8.83
1989,11,11.12
1989,12,13.39
1990,1,14.78
1990,2,15.58
1990,3,15.87
1990,4,14.65
1990,5,13.23
1990,6,11.64
1990,7,9.25
1990,8,6.8
1990,9,6.14
1990,10,8.48
1990,11,11.08
1990,12,13.11
1991,1,14.36
1991,2,15.25
1991,3,15.42
1991,4,14.86
1991,5,13.47
1991,6,12.11
1991,7,9.51
1991,8,7.42
1991,9,6.47
1991,10,8.54
1991,11,10.88
1991,12,12.95
1992,1,14.64
1992,2,15.46
1992,3,15.48
1992,4,14.68
