broad_field,major_field,field,year,n_phds
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2008,122
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2008,303
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2008,140
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2008,63
Psychology and social sciences,Other social sciences,Statistics (social sciences),2008,20
Education,Education research,"Educational statistics, research methods",2008,66
Other,Business management and administration,"Management information systems, business statistics",2008,156
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2009,115
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2009,353
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2009,173
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2009,68
Psychology and social sciences,Other social sciences,Statistics (social sciences),2009,17
Education,Education research,"Educational statistics, research methods",2009,60
Other,Business management and administration,"Management information systems, business statistics",2009,136
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2010,127
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2010,327
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2010,163
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2010,82
Psychology and social sciences,Other social sciences,Statistics (social sciences),2010,21
Education,Education research,"Educational statistics, research methods",2010,68
Other,Business management and administration,"Management information systems, business statistics",2010,108
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2011,137
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2011,332
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2011,143
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2011,72
Psychology and social sciences,Other social sciences,Statistics (social sciences),2011,22
Education,Education research,"Educational statistics, research methods",2011,79
Other,Business management and administration,"Management information systems, business statistics",2011,100
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2012,174
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2012,365
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2012,192
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2012,97
Psychology and social sciences,Other social sciences,Statistics (social sciences),2012,19
Education,Education research,"Educational statistics, research methods",2012,70
Other,Business management and administration,"Management information systems, business statistics",2012,103
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2013,145
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2013,364
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2013,234
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2013,108
Psychology and social sciences,Other social sciences,Statistics (social sciences),2013,24
Education,Education research,"Educational statistics, research methods",2013,84
Other,Business management and administration,"Management information systems, business statistics",2013,107
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2014,165
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2014,407
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2014,235
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2014,93
Psychology and social sciences,Other social sciences,Statistics (social sciences),2014,20
Education,Education research,"Educational statistics, research methods",2014,74
Other,Business management and administration,"Management information systems, business statistics",2014,100
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2015,171
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2015,381
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2015,243
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2015,87
Psychology and social sciences,Other social sciences,Statistics (social sciences),2015,22
Education,Education research,"Educational statistics, research methods",2015,92
Other,Business management and administration,"Management information systems, business statistics",2015,102
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2016,198
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2016,265
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2016,686
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2016,52
Psychology and social sciences,Other social sciences,Statistics (social sciences),2016,44
Education,Education research,"Educational statistics, research methods",2016,76
Other,Business management and administration,"Management information systems, business statistics",2016,107
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2017,216
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2017,502
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2017,394
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2017,68
Psychology and social sciences,Other social sciences,Statistics (social sciences),2017,15
Education,Education research,"Educational statistics, research methods",2017,83
Other,Business management and administration,"Management information systems, business statistics",2017,90
