delta,sample_size,power
0.1,10,0.046999999999999965
0.1,20,0.07400000000000002
0.1,30,0.0740000000000001
0.1,40,0.07700000000000003
0.1,50,0.06599999999999999
0.1,60,0.10000000000000003
0.1,70,0.08599999999999995
0.1,80,0.09300000000000003
0.1,90,0.09599999999999993
0.1,100,0.10800000000000001
0.1,110,0.12099999999999979
0.1,120,0.12900000000000017
0.1,130,0.1290000000000002
0.1,140,0.1380000000000001
0.1,150,0.14900000000000022
0.1,160,0.1390000000000001
0.1,170,0.16399999999999998
0.1,180,0.13200000000000003
0.1,190,0.17000000000000007
0.1,200,0.16199999999999964
0.1,210,0.18600000000000005
0.1,220,0.203
0.1,230,0.1930000000000002
0.1,240,0.17299999999999996
0.1,250,0.19799999999999995
0.1,260,0.20900000000000005
0.1,270,0.22599999999999962
0.1,280,0.2280000000000002
0.1,290,0.23600000000000002
0.1,300,0.25299999999999995
0.1,310,0.26300000000000007
0.1,320,0.235
0.1,330,0.21399999999999975
0.1,340,0.24100000000000013
0.1,350,0.23699999999999993
0.1,360,0.26500000000000007
0.1,370,0.282
0.1,380,0.2790000000000001
0.1,390,0.284
0.1,400,0.267
0.1,410,0.282
0.1,420,0.3169999999999999
0.1,430,0.3150000000000001
0.1,440,0.29
0.1,450,0.30099999999999993
0.1,460,0.32199999999999995
0.1,470,0.34199999999999997
0.1,480,0.367
0.1,490,0.34099999999999997
0.1,500,0.37200000000000005
0.1,510,0.3700000000000001
0.1,520,0.3779999999999999
0.1,530,0.358
0.1,540,0.3809999999999999
0.1,550,0.3939999999999999
0.1,560,0.386
0.1,570,0.37300000000000016
0.1,580,0.4089999999999999
0.1,590,0.3999999999999999
0.1,600,0.3899999999999999
0.1,610,0.41700000000000004
0.1,620,0.4289999999999998
0.1,630,0.43899999999999995
0.1,640,0.43400000000000005
0.1,650,0.42200000000000004
0.1,660,0.45499999999999996
0.1,670,0.42599999999999993
0.1,680,0.44700000000000056
0.1,690,0.4560000000000002
0.1,700,0.4699999999999998
0.1,710,0.452
0.1,720,0.4899999999999999
0.1,730,0.48299999999999993
0.1,740,0.48299999999999993
0.1,750,0.5029999999999999
0.1,760,0.48600000000000004
0.1,770,0.5080000000000002
0.1,780,0.527
0.1,790,0.5200000000000004
0.1,800,0.533
0.1,810,0.5119999999999998
0.1,820,0.511
0.1,830,0.531
0.1,840,0.5390000000000001
0.1,850,0.5469999999999999
0.1,860,0.5209999999999999
0.1,870,0.5529999999999999
0.1,880,0.55
0.1,890,0.577
0.1,900,0.593
0.1,910,0.5870000000000001
0.1,920,0.591
0.1,930,0.5710000000000001
0.1,940,0.5819999999999996
0.1,950,0.5900000000000001
0.1,960,0.6190000000000001
0.1,970,0.5740000000000001
0.1,980,0.609
0.1,990,0.6010000000000001
0.1,1000,0.6220000000000001
0.25,10,0.0729999999999998
0.25,20,0.10800000000000007
0.25,30,0.156
0.25,40,0.194
0.25,50,0.2090000000000001
0.25,60,0.29700000000000004
0.25,70,0.283
0.25,80,0.33400000000000013
0.25,90,0.3850000000000002
0.25,100,0.4180000000000002
0.25,110,0.47399999999999987
0.25,120,0.514
0.25,130,0.5160000000000002
0.25,140,0.5630000000000001
0.25,150,0.5840000000000001
0.25,160,0.595
0.25,170,0.6309999999999998
0.25,180,0.6469999999999998
0.25,190,0.6789999999999999
0.25,200,0.718
0.25,210,0.6900000000000002
0.25,220,0.7440000000000001
0.25,230,0.7860000000000003
0.25,240,0.7930000000000005
0.25,250,0.7969999999999999
0.25,260,0.796
0.25,270,0.8530000000000001
0.25,280,0.8190000000000001
0.25,290,0.859
0.25,300,0.8560000000000001
0.25,310,0.861
0.25,320,0.8960000000000001
0.25,330,0.9049999999999999
0.25,340,0.8880000000000001
0.25,350,0.922
0.25,360,0.925
0.25,370,0.9259999999999999
0.25,380,0.9250000000000002
0.25,390,0.93
0.25,400,0.9339999999999999
0.25,410,0.9570000000000001
0.25,420,0.9400000000000001
0.25,430,0.96
0.25,440,0.958
0.25,450,0.9620000000000001
0.25,460,0.9579999999999999
0.25,470,0.9590000000000002
0.25,480,0.974
0.25,490,0.9810000000000001
0.25,500,0.98
0.25,510,0.975
0.25,520,0.988
0.25,530,0.975
0.25,540,0.9780000000000001
0.25,550,0.9850000000000001
0.25,560,0.984
0.25,570,0.9930000000000001
0.25,580,0.99
0.25,590,0.994
0.25,600,0.9890000000000001
0.25,610,0.9890000000000001
0.25,620,0.996
0.25,630,0.993
0.25,640,0.992
0.25,650,0.994
0.25,660,0.993
0.25,670,0.997
0.25,680,0.989
0.25,690,0.999
0.25,700,0.994
0.25,710,0.995
0.25,720,1
0.25,730,0.998
0.25,740,1
0.25,750,0.994
0.25,760,0.998
0.25,770,0.995
0.25,780,0.998
0.25,790,1
0.25,800,1
0.25,810,1
0.25,820,0.998
0.25,830,1
0.25,840,0.999
0.25,850,0.999
0.25,860,0.999
0.25,870,1
0.25,880,1
0.25,890,0.998
0.25,900,1
0.25,910,1
0.25,920,1
0.25,930,1
0.25,940,1
0.25,950,1
0.25,960,0.999
0.25,970,0.999
0.25,980,1
0.25,990,1
0.25,1000,1
